,弹幕
799,鼓捣毛宁
800,当年的毛宁和杨钰莹，真是金童玉女啊
801,唱不上去
802,他gay不gay的和他唱歌好听长得帅有关系吗？
803,后面会有个女的出现
804,这个后来我们厂子电视台整天重播，整天重播。。包括赵丽蓉陈佩斯那些小品哈哈哈
805,YYQX是什么臭鱼烂虾
806,憨憨鹅时代报道
807,走位风骚
808,你的破船
809,这一年3岁了
810,看黑白电视机
811,毛宁好像说，他这跳舞库门没关
812,负八岁
813,真好
814,枫桥夜泊
815,看上面
816,女演员服装真好看
817,唱歌是听不出口音的，这是常识
818,现在央视的杨帆有点毛宁的神韵
819,那时候我连小蝌蚪都不是
820,真的吗？
821,太好听了，哪种韵味十足打感觉真好
822,6岁
823,大长腿
824,毛宁真男神！！
825,金童玉女
826,四岁了
827,对不起，被字幕挡住上脸的毛宁我还以为是李锐
828,毛宁他爹拉大提琴的
829,毛宁本人比这个好看的多，青春气息
830,端庄大方的毛宁
831,我也想握手手!!!
832,我也想要握手手
833,毛宁长的好正气
834,原来毛宁这么帅的呀
835,23岁的毛宁
836,这人这歌这舞这意境!!
837,无法复制的美!
838,这人这歌这舞这意境
839,毛宁17岁体院团支书
840,毛宁是团支书
841,毛宁气质真好
842,毛宁气质清新典雅
843,毛宁这么帅的吗
844,毛宁很和善
845,毛宁和和善
846,毛宁的气质是学不来的
847,23岁
848,毛宁广州军区政治部文艺兵
849,谢谢毛宁
850,毛宁18岁辽宁体院团支书
851,毛宁是个很有涵养的人
852,说出柜的可以闭嘴了，不要再以讹传讹
853,毛宁骨子里的质朴典雅
854,向毛宁致敬
855,毛宁老爸拉大提琴的
856,毛宁是好人
857,毛宁 广州军区文艺兵
858,女演员好陶醉奥，演得真好
859,女的伴舞不错
860,女的很进入状态哎
861,毛宁是男女老少都喜欢的类型
862,毛宁不愿意被潜 所以被搞
863,毛宁不愿意被潜
864,毛宁当过两年文艺兵
865,毛宁是音乐世家 他爸妈是歌剧院的
866,毛宁科班体育生
867,毛宁音乐世家
868,前面玉田别走
869,毛宁有老婆
870,破船~
871,录个屁啊，那时中央电视台的全套设备都是当时最先进的日本原装进口货。真唱录播而已！
872,正大光明的假唱
873,-4岁
874,词曲作者广东人
875,这时候我爹妈可能还没结婚
876,说舞蹈的，以前都是演员自己编的，哪像现在又舞蹈老师
877,-2岁
878,来看 宁 哥
879,你有能力上？
880,开口跪
881,开口跪
882,当然 当年的金童
883,那年五岁 我们80是真的老了
884,因为杨钰莹他不能和她在一起 万恶的小报记者
885,李易峰有点像毛宁年轻的时候
886,毛宁是东北人？为啥唱歌听不出来呢
887,好好看，别整那些没用的
888,枫桥夜泊
889,录的很明显
890,当年的金童玉女 毛宁杨钰莹
891,是你吗，玉田？
892,还有四天 我就出生啦
893,这嗓音，没的说
894,那是假的啦 他没有出柜
895,还没出生
896,这么帅的吗？
897,走位风骚
898,浓眉大眼大长腿 真帅哥啊
899,登上你的破船
900,大长腿'
901,他爹来过我姥爷的婚礼
902,| 1993 央视春晚 期待将来的央视春晚会让全世界各国能看到。
903,|  舞蹈确实符合场景    ----
904,纪念1993年央视春晚  >>
905,浓浓的年代感
906,毛宁是运动员出身
907,-7岁
908,让我来
909,他是gay还是造谣的真的out了！
910,那年你还是一只蝌蚪
911,岁月是把杀猪刀
912,演技到位
913,搞基是造谣的，把好好的一个明星毁了
914,破船那个别跑
915,这伴舞的也太轻松了，我上我也行
916,毛宁被搞 据说搞他的是个军区大佬
917,对对对！现在的易烊千玺越来越像毛宁年轻时模样
918,谣言真是害人不浅，放现在这算什么啊
919,毛宁也算神颜了
920,这是模特身材啊
921,这身材，这颜值，没的说
922,收音不好
923,当年全面学习香港舞美
924,因为歌火 当年这个女伴舞也火了一把
925,社会复杂下的产物
926,毛宁从没出过柜好吧
927,一股民国风 既视感
928,王思妇那里来的
929,因为是假唱啊
930,毛宁一米八的大个呢
931,跨栏运动员
932,枫桥夜泊
933,毛宁和杨钰莹是金童玉女
934,郎才女貌
935,毛宁要是晚出柜20年多好
936,霜满天
937,和最后的一对比就出来了，这身材简直了
938,帅不过毛宁！好听不过涛声依旧！
939,毛宁唱歌很好
940,红字没错，就是那个他的把他捅了
941,毛毛
942,这首歌没人比得过毛宁
943,能否登上你的破船～
944,那年没有女同学给你织个围巾，出门都觉得矮人一头
945,那时还不流行锥子脸，真好
946,６６６
947,都是录的
948,当年毛宁被封杀，
949,这难道就是传说中的假唱
950,啥也不说 先投币
951,走位很灵活啊（滑稽）
952,哦这风骚的走位
