,弹幕
556,除了尚硅谷，别的我不看
557,加娃
558,尚硅谷在手，java我有！
559,努力学习的样子真帅[打call]​
560,小陈学java
561,针对这种情况就建议开个会员
562,211天坑专业在读研一，这就是我转行的动力！已经连续学习几天了，希望能一直坚持学完！​
563,冲冲冲
564,等到我学有所成后，如果有人问我是怎么学习java的，我一定用铿锵有力的声音回答他：尚硅谷！！！​
565,卷的有点严重啦
566,目前我看过最好的，老师的技术很好，会演示很多关键问题的拓展，课堂氛围轻松又不缺乏严谨​
567,打卡 打卡
568,等到我学有所成后，如果有人问我是怎么学习java的，我一定用铿锵有力的声音回答他：尚硅谷！！！​
569,假期结束，继续学习！
570,yyds
571,N啊N啊
572,2580
573,讲的真心好
574,冲，开始啦
575,见本尊了
576,骨粉骨粉[呲牙]​
577,小小晨学java
578,尚硅谷万岁
579,全宇宙最好的java视频
580,优秀永远是你[笑]​
581,这个老师教了我太多东西。求知道名字的告诉我。​
582,经典视频
583,头秃
584,从入门到入土
585,真棒
586,看，是他，是他，就是他[星星眼]​
587,干就完事儿
588,目前我看过最好的，老师的技术很好，会演示很多关键问题的拓展，课堂氛围轻松又不缺乏严谨​
589,是谁说声音像光头强的？站出来
590,三连六连已了然无趣，我是七七49天天天连
