,弹幕
582,还是马爸爸有钱
583,头盔男
584,我是来看大嘴的
585,老子不是用户我怕什么
586,有个屁 
587,很多up主吃过亏
588,在字体后或下方小字注明商用付费及出品方很费劲吗？
589,商用=你拿来赚钱
590,买了canve 的两年商用版 用不上了想转手。欢迎私聊
591,喜欢嘴巴
592,我想起了角角
593,做淘宝深有体会
594,为了不侵权，还是自己写吧
595,自己上手写
596,除了宋体都是呗
597,文字都侵权，这日子还能过？
598,自己写吧
599,用ali 普惠体吧
600,说个题外话：这嘴是不是有点歪。歪嘴龙王？
601,隐蔽的那位，你笑到我了
602,win ding
603,自己写呗
604,Google Sans不香吗
605,放心，只要你没粉丝他们懒得告你
606,思源黑体超级好用
607,收藏比赞多
608,流氓
609,发明汉子的后代没收你钱，你歪扭一写就要收钱
610,思源黑体
611,做视频算不算商用啊？
612,qs
613,真大方
614,oppo sans
615,我觉着字体商用收费没毛病 问题就在于暗地里猫着 看你火了出来问你要钱
616,恋恋她妈给恋恋她姐起名——堪称一觉
617,觉了
618,360不点勾不会装全家桶
619,觉得自己专门创造一种语言，免得别人用到你的
620,赔个卵哈哈哈哈向来白嫖
621,原来你是个妹子……关注这么久才知道
622,吃灰去吧
623,啥叫隐蔽说明？不是公开说明了？
624,等个ai批量设计字体
625,吃灰去吧
626,啊？
627,你手写关这什么事啊
628,也不知道一群人对商业收费的字体义愤填膺干嘛，又不影响你日常使用，商业用人家就活该给你打白工？
629,不能免费商用 不商用就ok嘛？
630,不是，要收钱的不是字，是字体，汉字不像英文一样你设计个26字母大小写一共52个就可以了，汉字常用字上千，又比起字母很复杂，设计工作量很大，很辛苦
631,好的，我直接切到片尾看
632,黄油体？
633,？
634,造字工房真心不戳
635,居然有人在弹幕上问出这种问题
636,还受不了那些发弱智弹幕的人了 
637,思源默认是日文汉字写法，一定要注意选择中文汉字的子字体
638,自己做
639,有个旁门正道 是一起的么
640,只用两个字体 宋体 times new Roman
641,360 hh
642,我用wingding字体（滑稽）
643,宋体不会吧
644,好多受哈哈哈
645,我用文泉字体
646,谢谢大佬
647,巧影里可以用这个
648,难道用手写？
649,狗，这种东西就应该科普太可怕了，这就转发
650,方正字库
651,搞什么都侵权
652,有受嘛？
653,小猪P_喜欢用的
654,一咸菊菊，OE喜欢用思源宋体
655,著名的潮男爱用思源黑体
656,oooooomygosh nb
657,又一个收藏比赞多的视频
658,辞职了
659,你们知道做字体有多难吗？收费是应该的，很多中国人目前对这种知识产权毫无概念
660,受
661,先要求停止你钱都挣了就算了？
662,不会真的有人喜欢毒角兽那个作秀的人吧
663,np
664,思源比微软雅黑好看！
665,noto sans
666,我喜欢用思源和宋体 像奔驰广告那种宋体
667,？
668,思源黑体
669,用Times new Roman和Comic sans呗
670,左边更好
671,Noto sans cjk
672,左边那个更和谐一点
673,新罗马人有没有
674,这个是不是ohmygosh的视频？
675,能不能用几个买几个？整个字库都买买不起
676,文字属于全人类共同的财富，我觉得无论你设计多牛的字体都应该商用免费
677,这敢用来做党政类？不怕分分钟把你资料信息搞到手
678,漂亮
679,我用宋体还不行嘛
680,如果你是纯自己制作的字体不侵权
681,comic sans 世界上免费可商用最好的字体
682,是不是腾讯这gou公司又整幺蛾子了？
683,我要苹果mac os系统的keynote做幻灯片，里面的字体和微软不一样
684,我手写可以吗？
685,美术字体侵权一般都是养肥了才告你。
686,这个黄油体是什么？
687,屁话，艺术字收费有什么问题？你用别人劳动成果赚钱不付费？
688,前面弹幕这么能杠？设计师多辛苦了解么？
