,弹幕
472,现在看剧的都是女性居多
473,汉皮超可爱！！
474,关键是国内没人敢拍啊
475,高能
476,......
477,汉妃
478,小天使
479,666
480,忠！诚！
481,必须烂尾，不然太真实了可就不好了
482,也是保护新人
483,233333
484,哈哈
485,半部ym治天下
486,半部YM治天下
487,最喜欢的up主
488,半部治天下
489,大魔王
490,微妙政府
491,汉弗莱
492,是，大臣
493,哈哈哈，这段印象深刻
494,三连了，因为剧情过于精彩，所以后面就不发弹幕了
495,半部YM治天下
496,必须三连！
497,不错不错
498,半步ym治天下
499,老对手
500,大魔王
501,客串
502,半部ym治天下
503,汉妃！
504,好制度
505,不愧是你
506,绕口令
507,半部YM治天下
508,你说的是错的。
509,离职技巧专家
510,汉妃
511,吉姆哈克大臣
512,国外没有发票，只有收据
513,全人类政治的难题
514,木下！
515,半部YM治天下
516,英剧很少烂尾
517,大魔王阿诺德
518,剑桥五杰
519,现在的美国
520,哈哈哈哈
521,铁三角来啦
522,已经不是了
523,罕见
524,合集没有之前的单集弹幕多啊
525,这明显是……
526,666
527,一眼万年
528,剑桥？
529,文员集团操作的
530,这部剧没有烂尾
531,15年以前的韩国也有一部
532,GCMG
533,好年轻啊
534,好剧烂尾定理
535,哈克不是牛津剑桥
536,都说很牛逼 
537,哈哈哈哈哈哈哈
538,好家伙
539,半部ym治天下
540,神秘博士？
541,波莱罗
542,精苏狂喜大学
543,辛苦up主
544,半部YM治天下
545,半步ym治天下
546,半部YM治天下
547,肝帝
548,剑桥？
549,半部ym治天下
550,1分钟
551,1
552,啊吧啊吧
553,哈哈哈哈哈哈哈
554,哈哈哈哈哈哈哈
555,哈哈哈哈哈哈
556,太犀利了
557,bgm是啥不重要
558,好像梅西啊
559,画蛇添足。
560,剑桥五杰
561,我们仨
562,中间
563,这里的bgm是什么呢
564,比如环保
565,半部ym治天下
566,汉妃
567,老中青
568,不惜?
569,剑桥五杰
570,优酷可以看了，不知道b战啥时候能看
571,我爱凯叔
572,1.25倍速正好
573,汉妃
574,这部剧没有烂尾，是演员和编剧共同决定的没有续集
575,skr
576,不止西方吧
577,看半佛来的
578,黑爵士
579,gcmg
580,米球
581,集体利益
582,果断投币
583,650个？我记得英国还没日本大吧
584,BGM好评
585,一键三连
586,架在火上烤
587,半步ym治天下
588,半部YM治天下
589,好耶！
590,疫苗
591,哈哈哈哈哈哈
592,汉妃
593,番剧也是剧
594,西方私立大学和中学吧
