,词语,次数
853,来来来,1
854,eang,1
855,清晰,7
856,杰克,1
857,琼斯,1
858,同,12
859,款,2
860,T恤,1
861,三联,1
862,6666,4
863,好好看,2
864,好看,3
865,有机,2
866,懂吗,3
867,31,7
868,需要,19
869,第一,50
870,第一个,10
871,朋友,8
872,过来,8
873,再,26
874,龚,1
875,俊,1
876,清,2
877,爹,1
878,hh,4
879,秦皇,2
880,秦皇岛,2
881,但,11
882,同济,1
883,、、、、、、、、、、、、、、,1
884,苏,2
885,！！！！！,4
886,凌晨,5
887,四点,1
888,14,12
889,杭,1
890,电,7
891,硕,2
892,自己,33
893,弹幕,23
894,笑,16
895,哈,7
896,不熟,1
897,熟悉,3
898,233,5
899,pattern,1
900,recognition,1
901,永远,10
902,滴,6
903,20,13
904,国,1
905,科大,4
906,大研,3
907,2022,7
908,01,8
909,窝工,1
910,工大,18
911,北,6
912,矿,2
913,别提,1
914,呜呜,2
915,watermelon,1
916,book,2
917,CUST,1
918,新生,1
919,新生报,1
920,YHF,1
921,刷,15
922,么,21
923,中科,2
924,中科大,2
925,少年,1
926,少年班,1
927,南航,3
928,子集,1
929,子集合,1
930,集合,2
931,紧张,4
932,51,3
933,你们好,10
934,呀,33
935,倍,17
936,正好,5
937,大数,3
938,数据,27
939,18,11
940,好呀,4
941,二倍,2
942,速食,2
943,食用,3
944,年,20
945,号,4
946,窝瓜,1
947,666,11
948,别,24
949,卷,20
950,冬瓜,1
951,38,3
952,果然,6
953,凑数,1
954,轻轻,1
955,跪下,2
956,HIT,4
957,看看,14
958,10086,2
959,hhh,7
960,16,18
961,42,3
962,瓜,1
963,好不好,2
964,佳,1
965,爱,19
966,爸,1
967,曹,1
968,天赋,1
969,专,11
970,黄,3
971,西南,2
972,西南交大,1
973,交大,3
974,着,20
975,噪声,1
976,吃不消,1
977,不消,1
978,妈,5
979,吞,1
980,手机,5
981,胎盘,1
982,行,11
983,胎教,2
984,DL,1
985,更加,1
986,直观,1
987,老公,7
988,硬,3
989,train,2
990,一发,2
991,走,10
992,吵,2
993,抠,1
994,脚,1
995,大汉,1
996,圣经,5
997,prml,1
998,Up,1
999,最好,15
1000,真行,1
1001,hit,1
1002,小菜,1
1003,鸡,5
1004,扫地,2
1005,僧,1
1006,不留,1
1007,姓名,1
1008,machine,3
1009,learning,1
1010,probabilistic,1
1011,perspective,1
1012,补数,1
1013,学去,3
1014,231n,1
1015,",",37
1016,泛泛,1
1017,泛泛而谈,1
1018,老婆,1
1019,不能,17
1020,声音,15
1021,大司马,3
1022,司马,3
1023,想,28
1024,赖学,1
1025,上,34
1026,读到,1
1027,总能,2
1028,几个,5
1029,超越,2
1030,21,6
1031,世纪,1
1032,存在,4
1033,李子,1
1034,源,2
1035,夏,1
1036,齐鲁,1
1037,大学本科,2
1038,本科毕业,1
1039,毕业,19
1040,毕业生,2
1041,业生,3
1042,nku,2
1043,渡,1
1044,想要,2
1045,x,5
1046,读作,1
1047,X,1
1048,prime,1
1049,加州,1
1050,实在,4
1051,北交大,1
1052,大报,1
1053,养老,1
1054,养老院,1
1055,老人,1
1056,信,7
1057,计,5
1058,科研,1
1059,三遍,6
1060,没学,3
1061,学会,3
1062,20210602,1
1063,临床,1
1064,临床医学,1
1065,七年,3
1066,制报,1
1067,您好,2
1068,一天,23
1069,一天到晚,1
1070,烦,1
1071,不烦,1
1072,哪,8
1073,湿,1
1074,顺口,1
1075,顺口溜,1
1076,弱,2
1077,学人,1
1078,人工,4
1079,人工智能,2
1080,智能,2
1081,假笑,1
1082,天王,1
1083,东北,2
1084,东北大学,1
1085,北大,9
1086,分校,1
1087,迷,1
1088,弟,1
1089,老,11
1090,程序,21
1091,猿,4
1092,浙大,5
1093,炸,1
1094,博,2
1095,脑子,4
1096,频率,1
1097,子,6
1098,装,4
1099,rf,1
1100,网,1
1101,去,25
1102,昂,1
1103,thu,1
1104,学学,5
1105,收藏,9
1106,上交,1
1107,你好,3
1108,一点儿,1
1109,点儿,1
1110,mlapp,1
1111,全名,1
1112,南,3
1113,邮,2
1114,渣,4
1115,垃圾,4
1116,山,1
1117,威,1
1118,跨专业,1
1119,大工,1
1120,工控,1
1121,哪个,6
1122,大专,1
1123,大专生,1
1124,混,4
1125,单生,1
1126,狗,4
1127,飞雪,1
1128,连天,1
1129,射,1
1130,鹿,1
1131,神侠倚,1
1132,碧,1
1133,鸳,1
1134,不止,1
1135,废,3
1136,傻,3
1137,脱发,2
1138,小学,6
1139,小学生,1
1140,国中,1
1141,zzh,1
1142,重回,1
1143,二年,2
1144,二年级,2
1145,年级,8
1146,深造,1
1147,老师上课,1
1148,上课,13
1149,老马,1
